title,app_id
"Dungeons 4 - The Good, the Bad and the Evil",2964020
Project Hospital - Hospital Services,1282550
SimCasino,1158420
Golden Lap,2052040
Assetto Corsa Competizione - Challengers Pack,1865950
Northgard - Cross of Vidar Expansion Pack,2228200
Astride,1754960
Hydroneer,1106840
Subside,2550040
Dawn of Man,858810
shapez - Puzzle DLC,1625400
Against the Storm - Supporter Pack,2712950
WolfQuest Anniversary - Building Character Pack,1970630
Unnamed Space Idle,2471100
Shokudo Underworld,3050530
Euro Truck Simulator 2 - Schmitz Cargobull Trailer Pack,2833100
Assetto Corsa Competizione - GT2 Pack,2700600
Cities: Skylines - Content Creator Pack: Sports Venues,2224690
The Exit 8,2653790
Assetto corsa - Japanese Pack,467980
Fishing Planet: Saltwater Match Pack,1200342
Magic Research 2,2864890
UBOAT,494840
theHunter: Call of the Wild™ - ATV SABER 4X4,630940
Space Engineers - Signal Pack,2914120
CarX Drift Racing Online - Season Pass,1535220
"Northgard - Kernev, Clan of the Stoat",2515460
Big Ambitions,1331550
Descenders,681280
Xenonauts,223830
theHunter: Call of the Wild™ - Modern Rifle Pack,1843410
WHAT THE GOLF?,785790
UBOAT - Supporter Pack,3129990
Passpartout 2: The Lost Artist,1571100
Tower Walker: MMO Grind Simulator,2130060
theHunter: Call of the Wild™ - New England Mountains,2167630
Car Mechanic Simulator 2021 - Jeep | RAM Remastered DLC,2889700
Victoria 3: Voice of the People,2282100
Deep Among the Swarm,2746030
Arma 3 Creator DLC: S.O.G. Prairie Fire,1227700
Cooking Simulator VR,1358140
Wylde Flowers,1896700
Green Hell,815370
Overcooked - The Lost Morsel,530060
SunnySide,1746930
Stronghold: Definitive Edition,2140020
Drums Rock,1906020
CarX Drift Racing Online - Hit The Wall,1901670
MXGP 2019 - The Official Motocross Videogame,1018160
The Settlers: New Allies,2750080
SimCity™ 4 Deluxe Edition,24780
ZERO Sievert,1782120
SPORE™ Galactic Adventures,24720
Fishing: Barents Sea,501080
Two Point Hospital: Speedy Recovery,1901750
NBA 2K24,2338770
Farm Together 2,2418520
The Sims™ 3 World Adventures,47892
The Sims™ 4 Realm of Magic,1235746
Scrap Mechanic,387990
Scania Truck Driving Simulator,258760
Expansion - Hearts of Iron IV: Man the Guns,815460
Atelier Shallie: Alchemists of the Dusk Sea DX,1152320
"Hot Dogs, Horseshoes & Hand Grenades",450540
Planet Zoo: Oceania Pack,2502240
Planet Zoo: Eurasia Animal Pack,2675740
Eyes: The Horror Game,2633640
Project Hospital - Traumatology Department,1423900
Project Hospital - Department of Infectious Diseases,1368210
Zoo 2: Animal Park,1352330
Farming Simulator 22 - Premium Expansion,2243200
April 24th,2907190
Planet Zoo: Africa Pack,1647620
Anno 1800 - Steampunk Pack,2830580
Thrive,1779200
DSX,1812620
My Garage,1578390
We Need To Cook - Drug Empire Simulator,2491770
Pinball FX - Peanuts' Snoopy Pinball,2351842
Cyber Manhunt,1216710
Pinball FX - MY LITTLE PONY Pinball,2351841
Fishing Planet: World Cats Cup Pack,1804842
WorldBox - God Simulator,1206560
SKIBIDI: ESCAPE FROM TOILETS!,2497560
Way of the Hunter - Bear Archery Pack,3091580
Fishing Planet: Club Enthusiast Pack,1804849
Little-Known Galaxy,2521600
Battle Talent,1331510
Disc Golf: Game On,1896550
theHunter: Call of the Wild™ - Treestand & Tripod Pack,1076850
Gunsmith Simulator,1101120
Trainz Railroad Simulator 2019,553520
Virtual Hunter,1549850
CarX Drift Racing Online - Engine Swaps Unlock,2154970
FPV LOGIC,2398030
The Lost Legends of Redwall: Feasts & Friends,2632490
Disney•Pixar Cars,331160
Ostranauts,1022980
STAR WARS™ Empire at War - Gold Pack,32470
"Love, Ghostie",1789490
Paleo Pines Trick or Treat DLC,3066180
Witchy Life Story,1427340
Paleo Pines Spooktacular DLC,3066240
Weedcraft Inc,622720
MudRunner,675010
Totally Accurate Battle Simulator,508440
WARNO - Nemesis #1 - Air Assault,2978640
Saleblazers,1419850
Beer Factory,1782570
"Northgard - Himminbrjotir, Clan of the Ox",1223060
"Northgard - Ratatoskr, Clan of the Squirrel",1644210
Rewind Or Die,2329130
Assetto Corsa Competizione - 24H Nürburgring Pack,2700610
RimWorld - Ideology,1392840
Euro Truck Simulator 2 - Road to the Black Sea,1056760
The Sims™ 4 Vampires,1235743
RimWorld - Royalty,1149640
American Truck Simulator - Texas,1465750
Stellaris: Toxoids Species Pack,2115770
SUMMERHOUSE,2533960
WolfQuest Anniversary - Hellroaring Mountain,2874030
Assetto Corsa -Tripl3 Pack,509350
Stellaris: Federations,1140001
Stellaris: Overlord,1889490
Black Skylands,1143810
Thief Simulator,704850
Ravenfield,636480
JOY OF PROGRAMMING - Software Engineering Simulator,2216770
Victoria 3: Melodies for the Masses Music Pack,2348450
Kebab Chefs! - Restaurant Simulator,1001270
Rain World: Downpour,1933390
Stellaris: MegaCorp,944290
Idle Cave Miner,2289450
The Sims™ 4 My First Pet Stuff,1235753
The Long Dark: Tales from the Far Territory,2091330
PAYDAY 2,218620
"Yes, Your Grace",1115690
Caves of Qud,333640
Hometopia,1138640
State of Decay: YOSE,329430
Turmoil - The Heat Is On,804760
Settlements Rising,2378910
Blush Blush - Kitsune Bundle,2587610
Rune Coliseum,2360210
DiRT Rally 2.0 - Germany (Rally Location),1004892
KovaaK's,824270
DCS: F-16C The Gamblers Campaign by Baltic Dragon,3015300
Rec Room,471710
Two Point Hospital: Off the Grid,1196150
Two Point Hospital: Close Encounters,1096580
Two Point Hospital: Bigfoot,966690
Planet Coaster,493340
Euro Truck Simulator 2 - Mighty Griffin Tuning Pack,461244
Workers & Resources: Soviet Republic - Biomes,2499360
theHunter: Call of the Wild™ - Bloodhound,1546670
Space Engineers - Automatons,1958640
Euro Truck Simulator 2 - High Power Cargo Pack,304214
Euro Truck Simulator 2 - Heavy Cargo Pack,531131
Platform 8,2903560
The Infected,1360000
The Monster Breeder,1192440
theHunter: Call of the Wild™ - Medved-Taiga,695680
Ages of Conflict: World War Simulator,2186320
Demolish & Build 3,1203670
"Northgard - Brundr & Kaelinn, Clan of the Lynx",1401490
theHunter: Call of the Wild™ - Revontuli Coast,1931910
"Northgard - Nidhogg, Clan of the Dragon",971630
"Northgard - Sváfnir, Clan of the Snake",888650
Kingspray Graffiti VR,471660
theHunter: Call of the Wild™ - Hunter Power Pack,2299780
Stellaris: Grand Archive,2863080
EVERSPACE™ 2 - Titans,2873460
Elite Dangerous: Odyssey,1336350
Icarus: Holdfast Outpost,1648540
Trailmakers: Motorhead Pack,3009870
If My Heart Had Wings,326480
Icarus: Iceholm Outpost,1648541
Steel Division 2 - Burning Baltics,1418231
EVERSPACE™ 2,1128920
Under A New Sun,2075580
Tropico 6 - Tropican Shores,2938080
Anno 1404 - History Edition,1281630
Farming Simulator 2013 Titanium Edition,220260
Notruf 112 | Emergency Call 112,491530
Moving Out 2,1641700
Gourdlets,2013730
theHunter: Call of the Wild™ - High Caliber Weapon Pack,2701860
Phoenix Point - Kaos Engines DLC,1622221
Cities: Skylines - Industries,715194
Hand Simulator,657200
CarX Drift Racing Online - Japan Fest,1112470
Furnish Master,2004080
SHENZHEN I/O,504210
House Flipper,613100
Mob Factory,2182630
Kingdoms and Castles,569480
XENOTILT: HOSTILE PINBALL ACTION,2008980
Assetto Corsa Competizione - 2023 GT World Challenge Pack,2328720
Tower Walker - The Lich,2693140
Littlewood,894940
House Flipper - Farm DLC,1832960
Sankaku Renai: Love Triangle Trouble,1009450
Ark of Charon,2827810
Fureraba ~Friend to Lover~,822760
Euro Truck Simulator 2 - Iberia,1209460
Euro Truck Simulator 2 - Italia,558244
Euro Truck Simulator 2 - Vive la France !,531130
Assetto Corsa Competizione - Intercontinental GT Pack,1201360
DCS: F-15C Flaming Cliffs,250300
"Northgard - Dodsvagr, Clan of the Rat",1876990
Hero's Adventure: Road to Passion,1948980
Ancient Aliens: The Game,1998260
Octodad: Dadliest Catch,224480
SnowRunner - Season 13: Dig & Drill,2709450
Little Big Workshop,574720
